Index|Word|Definition|Grouping

1|Abash|To Make Ashamed|Verb

2|Abate|To Put An End To|Verb

3|Abbess|A Female Superior Or Governess Of A Nunnery|Noun

4|Abbey|A Monastery Or Society Of People|Noun

5|Abbot|The Superior Or Head Of An Abbey Or Monastery|Noun

6|Abbreviate|To Make Shorter|Verb

7|Abdicate|To Surrender, Renounce Or Relinquish|Verb

8|Abdomen|The Belly/Stomach|Noun

9|Abduct|To Take Away Secretly By Force|Verb

10|Abed|In Bed|Verb

11|Aberrant|Straying From The Right Or Normal Way|Verb

12|Abet|To Assist Or Encourage By Aid, Especially In Crime|Verb

13|Abeyance|Temporary Inactivity|Noun

14|Abhor|To Loath|Verb

15|Abide|To Wait For|Verb

16|Abject|To Cast Off Or Down, To Abase|Verb

17|Abjure|To Renounce Upon Oath|Verb

18|Abnegate|To Deny (Oneself Something)|Verb

19|Abnormal|Not Conforming To Rule Or System|Adjective

20|Abominable|Very Hateful, Detestable|Adjective

21|Abomination|Anything Greatly Disliked Or Abhorred|Noun

22|Aboriginal|Original Or Indigenous To A Place|Adjective

23|Abort|To Miscarry, To Bring Forth Something Prematurely|Verb

24|Abortive|Unsuccessful|Adjective

25|Abound|To Be Plentiful, To Be Very Prevalent, To Overflow|Verb

26|Aboveboard|In Open Sight, Without Concealment, Or Deception|Adjective

27|Abrade|To Rub Or Wear Away|Verb

28|Abrasive|Rough Enough To Wear Away The Outer Surface|Adjective

29|Abridge|To Shorten In Duration|Verb

30|Abrogate|To Abolish By Authoritative Action|Verb

31|Abscess|To Form Such A Collection Of Pus|Verb

32|Abscission|The Act Of Cutting Off|Noun

33|Abscond|To Depart Secretly|Verb

34|Absence|A State Of Being Absent|Noun

35|Absolute|Free From Imperfection, Complete|Adjective

36|Absolve|To Set Free From An Obligation|Verb

37|Abstain|Refrain From (Something)|Verb

38|Abstemious|Restraint Especially In The Consumption Of Food Or Alcohol|Adjective

39|Abstinence|Voluntary Forbearance Esp.  From Indulgence Of An Appetite|Noun

40|Abstract|To Separate, To Remove, To Take Away|Verb

41|Abstruse|Difficult To Comprehend|Adjective

42|Abundant|Fully Sufficient, In Great Quantity|Adjective

43|Abusive|Treating Badly Or Injuriously|Adjective

44|Abut|To Touch By Means Of A Mutual Border, To Meet|Verb

45|Abysmal|Extremely Hopeless, Bad, Or Severe|Adjective

46|Abyss|An Immeasurably Deep Gulf Or Great Space|Noun

47|Accede|(Obsolete) To Approach, To Arrive, To Come Forward|Verb

48|Accentuate|To Pronounce With An Accent Or Vocal Stress|Verb

49|Access|To Gain Or Obtain Access To|Verb

50|Accession|To Make A Record Of (Additions To A Collection)|Verb

51|Accessory|Aiding In A Secondary Way, Being Additional,|Adjective

52|Acclaim|Applaud|Verb

